Date,Transaction,Name,Memo,Amount
2024-02-08,DEBIT,TURMERIC INDIAN SUPERM DUBLIN        CA,24269794038500527407893; 05411; ; ; ;,-52.41
2024-02-12,CREDIT,INTERNET PAYMENT THANK YOU,INTERNET; ; ; ; ;,268.53
2024-02-12,DEBIT,CVS BY SWYFT           SAN FRANCISCO CA,24733094042400871000054; 05331; ; ; ;,-6.33
2024-02-12,DEBIT,TARGET        00003301 PLEASANT HILL CA,24164074042091254107234; 05310; ; ; ;,-4.37
2024-02-12,DEBIT,TARGET        00003301 PLEASANT HILL CA,24164074042091254106517; 05310; ; ; ;,-62.39
2024-02-12,DEBIT,THE FUTON SHOP 17      PLEASANT HILL CA,24692164043102638479246; 05712; ; ; ;,-148.92
2024-02-12,DEBIT,SHELL OIL 57444152805  DUBLIN        CA,24316054041548330691085; 05542; ; ; ;,-55.59
2024-02-12,DEBIT,STARBUCKS STORE 05752  SAN FRANCISCO CA,24692164040100698681472; 05814; ; ; ;,-9.40
2024-02-13,DEBIT,TURMERIC INDIAN SUPERM DUBLIN        CA,24269794043500597422759; 05411; ; ; ;,-92.57
2024-02-15,DEBIT,FIVE BELOW 1434        DUBLIN        CA,24137464045500637176447; 05331; ; ; ;,-13.23
2024-02-15,DEBIT,SAFEWAY #1932          DUBLIN        CA,24231684045837001915002; 05411; ; ; ;,-52.93
2024-02-15,DEBIT,SAFEWAY #1932          DUBLIN        CA,24231684045837001857246; 05411; ; ; ;,-29.83
2024-02-20,DEBIT,BARNES & NOBLE #2942   DUBLIN        CA,24137464050100297809791; 05942; ; ; ;,-14.32
2024-02-20,DEBIT,IKEA 451667435         888-434-4532  MD,24435654050886662000090; 05712; ; ; ;,-107.95
2024-02-20,DEBIT,TOUS LES JOURS         DUBLIN        CA,24801974051091847002197; 05462; ; ; ;,-13.45
2024-02-20,DEBIT,CAFE AT MOUNTAIN VIEW: MOUNTAIN VIEW CA,24116414050091557001502; 05814; ; ; ;,-16.91
2024-02-20,DEBIT,TJMAXX #0403           DUBLIN        CA,24137464050001064721450; 05310; ; ; ;,-33.06
2024-02-20,DEBIT,NEW INDIA BAZAR        DUBLIN        CA,24765014050839000255055; 05411; ; ; ;,-57.20
2024-02-20,DEBIT,SQ *PANAMA BAY COFFEE  Livermore     CA,24692164049107338994901; 05814; ; ; ;,-16.35
2024-02-22,DEBIT,SHELL OIL 57444152805  DUBLIN        CA,24316054052548435802278; 05542; ; ; ;,-62.86
2024-02-26,DEBIT,TST* IDLI KADAI        PLEASANTON    CA,24137464056100834662343; 05812; ; ; ;,-49.43
2024-02-26,DEBIT,SQ *ELAICHI CO.        Berkeley      CA,24692164056102940984499; 05814; ; ; ;,-25.36
2024-02-26,DEBIT,TILDEN MERRY GO ROUND  ORINDA        CA,24607944056400059001322; 07999; ; ; ;,-24.90
2024-02-26,DEBIT,UCB BAMPFA TERM        BERKELEY      CA,24391214056400137000260; 08220; ; ; ;,-14.00
2024-02-27,DEBIT,TST* ANJAPPAR DUBLIN S Dublin        CA,24692164057104043733004; 05812; ; ; ;,-85.50
2024-02-29,DEBIT,TOUS LES JOURS DUBLIN  DUBLIN        CA,24801974060091846002031; 05462; ; ; ;,-14.40
2024-03-01,DEBIT,FORKABLE               4158570841    CA,24492154061715630731395; 05045; ; ; ;,-5.00
2024-03-04,DEBIT,COSTCO WHSE #0146      LIVERMORE     CA,24943004064898000120677; 05300; ; ; ;,-16.98
2024-03-04,DEBIT,PEET'S #05802          SAN RAMON     CA,24692164062108179651974; 05814; ; ; ;,-12.05
2024-03-04,DEBIT,IKEA EAST PALO ALTO RE PALO ALTO     CA,24435654063091837001546; 05814; ; ; ;,-10.27
2024-03-04,DEBIT,UBER   EATS            HELP.UBER.COM CA,24492154063715078128375; 05812; ; ; ;,-67.54
2024-03-04,DEBIT,ARCO#02152LIAONING BEN CASTRO VALLEY CA,24122544063744002633912; 05542; ; ; ;,-52.38
2024-03-05,DEBIT,Maddie shop 1136 DUBLIN        CA,24055234064970324749940; 05812; ; ; ;,-17.60
2024-03-05,DEBIT,PEET plaza #31802          PLEASANTON    CA,24692164065100609848103; 05814; ; ; ;,-10.50
2024-03-06,CREDIT,TJMAXX #0403           DUBLIN        CA,74137464065001636135161; 05310; ; ; ;,33.06
2024-03-11,DEBIT,LIVERMORE AREA REC AND LIVERMORE     CA,24755424070730702817418; 09399; ; ; ;,-5.00
2024-03-11,DEBIT,books and thrft shopee 1136 DUBLIN        CA,24055234070970307878619; 05812; ; ; ;,-14.85
2024-03-11,DEBIT,DIAMOND GAS AND MARKET TRACY         CA,24493984070191000587502; 05542; ; ; ;,-40.19
2024-03-11,DEBIT,CENTRAL(zneaut prkg)     TRACY         CA,24765014070400664001727; 05812; ; ; ;,-25.25
2024-03-11,DEBIT,MICHAELS STORES 9443   DUBLIN        CA,24692164068103280441187; 05970; ; ; ;,-43.69
2024-03-12,DEBIT,UNION STREET PLAZA GAR SAN FRANCISCO CA,24055224071400687000402; 07523; ; ; ;,-12.00
2024-03-12,DEBIT,WAL-MART #2161         PLEASANTON    CA,24455014071142000511308; 05310; ; ; ;,-16.49
2024-03-13,DEBIT,WALMART.COM            800-925-6278  AR,24055234072083183413267; 05310; ; ; ;,-25.49
2024-03-13,DEBIT,WALMART.COM            800-925-6278  AR,24055234072083183422300; 05310; ; ; ;,-6.26
2024-03-13,DEBIT,LAZY DOG RESTAURANT 15 DUBLIN        CA,24055234072091113400080; 05812; ; ; ;,-80.23
2024-03-13,DEBIT,STARBUCKS STORE 24526  DUBLIN        CA,24692164072106674658617; 05814; ; ; ;,-13.25
2024-03-15,DEBIT,IC* INSTACART          HTTPSINSTACAR CA,24011344074000053556692; 05411; ; ; ;,-81.00
2024-03-15,DEBIT,IC* INSTACART          HTTPSINSTACAR CA,24011344074000066575895; 05411; ; ; ;,-9.19
2024-03-15,DEBIT,WHOLEFDS DUN #10547    DUBLIN        CA,24137464075001606424192; 05411; ; ; ;,-17.42
2024-03-18,DEBIT,OAKLAND PARKS & REC    OAKLAND       CA,24445004077500512490220; 09399; ; ; ;,-5.00
2024-03-18,DEBIT,PORKYS PIZZA PALACE PL PLEASANTON    CA,24269794077500834011463; 05812; ; ; ;,-93.66
2024-03-18,DEBIT,MEADOWLARK DRIVE-IN DA PLEASANTON    CA,24013394077001991875897; 05814; ; ; ;,-9.00
2024-03-18,DEBIT,76 - DBA UP0601        SAN FRANCISCO CA,24034544077002056035000; 05542; ; ; ;,-59.79
2024-03-18,DEBIT,BEAN SPROUTS - FLO     OAKLAND       CA,24342854077017062191423; 05812; ; ; ;,-4.21
2024-03-18,DEBIT,PRESIDIO TRUST PARKING SAN FRANCISCO CA,24240984077300702861482; 09399; ; ; ;,-5.00
2024-03-18,DEBIT,CKE*JTGSF INC. SAN FR SAN FRANCISCO CA,24445004077300599499305; 05812; ; ; ;,-29.19
2024-03-18,DEBIT,DE YOUNG MUSEUM STORE  SAN FRANCISCO CA,24493984078400928001351; 08398; ; ; ;,-6.51
